Command,Meaning,Default
ACCESS_LEVEL,Changes the access level of a configuration item to make it available to lower ranked users,
ACCESS_LEVEL_ADMIN,Minimal access level for /admin command.,2
ACCESS_LEVEL_AUTOKICK_IMMUNITY,Minimal access level to be protected against autokicks.,7
ACCESS_LEVEL_CHAT,Minimal access level for chatting.,20
ACCESS_LEVEL_CHAT_TIMEOUT,"Time in seconds between public announcements that someone wants to chat, but can't. Set to 0 to disable the public warnings.",60
ACCESS_LEVEL_IPS,Minimal access level you need for seeing IPs of other players in the /players command.,5
ACCESS_LEVEL_NVER,Minimal access level you need for seeing Network versions/strings from other players in /players.,2
ACCESS_LEVEL_RTFM,Minimal access level for /teach or /rtfm command.,2
ACCESS_LEVEL_SPY_CONSOLE,Minimal access level you need for seeing console input from other (in-game) admins.,2
ACCESS_LEVEL_SPY_MSG,Minimal access level you need for seeing /msg messages directed to others.,0
ACCESS_LEVEL_SPY_TEAM,Minimal access level you need for seeing /team messages as a spectator.,2
ADD_HELP_TOPIC,Add a new help topic to be used with /help. Usage: ADD_HELP_TOPIC <topic> <short description> <text>,
ADD_MASTER_SERVER,"Announce this server to another master server. Usage: ADD_MASTER_SERVER host port(optional, default=4533).",
ADD_SCORE_PLAYER,add_score_player_help,
ADD_SCORE_TEAM,add_score_team_help,
ADMIN_KILL_MESSAGE,admin_kill_message_help,1
ADMIN_PASS,Password for the basic in game admin,NONE
AI_IQ,IQ of the AI opponents,50
ALIVE_LOCX,Horizontal position of the alive headcount display,0.45
ALIVE_LOCY,Vertical position of the alive headcount display,-0.95
ALIVE_SIZE,Size of the alive headcount display,0.13
ALLOW_CONTROL_DURING_CHAT,"If set to 1, this allows a player to issue cycle and camera control commands during chat (losing the chatbot and the yellow chat pyramid).",0
ALLOW_ENEMIES_SAME_CLIENT,"If set to 1, this allows two players that play on the same client to fight for points with each other.",0
ALLOW_ENEMIES_SAME_IP,"If set to 1, this allows two players that apparently come from the same machine to fight for points with each other.",0
ALLOW_IMPOSTERS,"If set to 1, players with identical names are tolerated. If set to 0, all but one will be renamed.",0
ALLOW_IMPOSTORS,"If set to 1, players with identical names are tolerated. If set to 0, all but one will be renamed.",0
ALLOW_RENAME_PLAYER,Gives the given player the ability to rename.,
ALLOW_TEAM_CHANGE,"If set to 1, all players can change teams. If set to 0, players can only change teams if they've been specifically allowed to by ALLOW_TEAM_CHANGE_PLAYER",1
ALLOW_TEAM_CHANGE_PLAYER,Allow a specific player to change teams even if ALLOW_TEAM_CHANGE is disabled,
ALLOW_TEAM_NAME_COLOR,Allow a team to be named after a color,1
ALLOW_TEAM_NAME_PLAYER,Allow a team to be named after the leading player,1
ALLOW_VOTING,"If set to 1, voting will be allowed for players.",1
ALLOW_VOTING_SPECTATOR,"If set to 1, voting will be allowed for spectators.",0
ALPHA_BLEND,Enable alpha blending,1
ARENA_AXES,"In how many directions a cycle can turn 4 is the default, 6 is hexatron",4
ARENA_AXES_OVERRIDE,Block out older clients when ARENA_AXES differs from its default?,3
ARENA_WALL_SHADOW_DIST,UNDOCUMENTED,
ARENA_WALL_SHADOW_NEAR,UNDOCUMENTED,
ARENA_WALL_SHADOW_SIDEDIST,UNDOCUMENTED,
ARENA_WALL_SHADOW_SIZE,UNDOCUMENTED,
ARMAGETRON_LAST_SCREENMODE,Last screen resolution,5
ARMAGETRON_LAST_SCREENMODE_H,UNDOCUMENTED,480
ARMAGETRON_LAST_SCREENMODE_W,UNDOCUMENTED,640
ARMAGETRON_LAST_WINDOWSIZE,Last Window size,5
ARMAGETRON_LAST_WINDOWSIZE_H,UNDOCUMENTED,480
ARMAGETRON_LAST_WINDOWSIZE_W,UNDOCUMENTED,640
ARMAGETRON_SCREENMODE,Screen resolution,6
ARMAGETRON_SCREENMODE_H,UNDOCUMENTED,600
ARMAGETRON_SCREENMODE_W,UNDOCUMENTED,800
ARMAGETRON_WINDOWSIZE,Window size,6
ARMAGETRON_WINDOWSIZE_H,UNDOCUMENTED,600
ARMAGETRON_WINDOWSIZE_W,UNDOCUMENTED,800
AUTHORITY_BLACKLIST,Comma separated list of authorities your server should refuse to query.,
AUTHORITY_WHITELIST,"If non-empty, only authorities on this comma separated list will be queried by your server.",
AUTO_AIS,Automatically spawn AI players?,0
AUTO_IQ,Automatically adjust AI IQ?,0
AUTO_SUBSTITUTION,auto_substitution_help,0
AUTO_TEAM,Flag indicating whether players should be put into teams automatically.,1
