Command,Meaning,Default
ACCESS_LEVEL,Changes the access level of a configuration item to make it available to lower ranked users,
ACCESS_LEVEL_ADMIN,Minimal access level for /admin command.,2
ACCESS_LEVEL_AUTOKICK_IMMUNITY,Minimal access level to be protected against autokicks.,7
ACCESS_LEVEL_CHAT,Minimal access level for chatting.,20
ACCESS_LEVEL_CHAT_TIMEOUT,"Time in seconds between public announcements that someone wants to chat, but can't. Set to 0 to disable the public warnings.",60
ACCESS_LEVEL_HIDE_OF,Minimal access level to be able to hide it's own user account information.,20
ACCESS_LEVEL_HIDE_TO,Minimal access level to see everyone's user account information.,5
ACCESS_LEVEL_IPS,Minimal access level you need for seeing IPs of other players in the /players command.,5
ACCESS_LEVEL_LIST_ADMINS,"Access level required to be able to use the ""/admins"" command.",2
ACCESS_LEVEL_LIST_ADMINS_SEE_EVERYONE,"Users with this access level or better will be able to list any configured admin, regardless of ADMIN_LIST_MIN_ACCESS_LEVEL.",2
ACCESS_LEVEL_NVER,Minimal access level you need for seeing Network versions/strings from other players in /players.,2
ACCESS_LEVEL_OP,Minimal access level for /op and /deop co-admin management commands commands.,7
ACCESS_LEVEL_OP_MAX,Maximal access level directly attainable by /op commands.,2
ACCESS_LEVEL_PLAY,Minimal access level for playing,20
ACCESS_LEVEL_PLAY_INVITED,access_level_play_invited_help,20
ACCESS_LEVEL_PLAY_SLIDERS,The access level required to play will only slide up if at least this many players of a higher level are online.,4
ACCESS_LEVEL_PLAY_SLIDING,"Sliding minimal access level for playing; if enough players of a higher access level than given by ACCESS_LEVEL_PLAY are online, their level will be the minimal level for play; however, it will never be higher than ACCESS_LEVEL_PLAY_SLIDING.",20
ACCESS_LEVEL_RTFM,Minimal access level for /teach or /rtfm command.,2
ACCESS_LEVEL_SHOUT,Minimal access level for shouting.,20
ACCESS_LEVEL_SHUFFLE_UP,Minimal access level for shuffling up,8
ACCESS_LEVEL_SPAM,access_level_spam_help,5
ACCESS_LEVEL_SPY_CONSOLE,Minimal access level you need for seeing console input from other (in-game) admins.,2
ACCESS_LEVEL_SPY_MSG,Minimal access level you need for seeing /msg messages directed to others.,0
ACCESS_LEVEL_SPY_TEAM,Minimal access level you need for seeing /team messages as a spectator.,2
ACCESS_LEVEL_TEAM,"Minimal access level for /lock, /unlock, /invite and /uninvite team management.",7
ACCESS_LEVEL_VOTE_COMMAND,Minimal access level required to issue command votes.,2
ACCESS_LEVEL_VOTE_COMMAND_EXECUTE,Minimal access level successful command votes will be executed at.,2
ACCESS_LEVEL_VOTE_DEMOTEREFEREE,access_level_vote_demotereferee_help,2
ACCESS_LEVEL_VOTE_INCLUDE,Minimal access level required to issue inclue votes.,2
ACCESS_LEVEL_VOTE_INCLUDE_EXECUTE,Minimal access level successful include votes will be executed at.,2
ACCESS_LEVEL_VOTE_KICK,Minimal access level required to issue kick votes.,20
ACCESS_LEVEL_VOTE_REFEREE,access_level_vote_referee_help,2
ACCESS_LEVEL_VOTE_SCRAMBLE,access_level_vote_scramble_help,15
ACCESS_LEVEL_VOTE_SUSPEND,Minimal access level required to issue suspend votes.,20
ADD_HELP_TOPIC,Add a new help topic to be used with /help. Usage: ADD_HELP_TOPIC <topic> <short description> <text>,
ADD_MASTER_SERVER,"Announce this server to another master server. Usage: ADD_MASTER_SERVER host port(optional, default=4533).",
ADMINS,Lists the server admins. You should use /admins or /listadmins instead of this.,
ADMIN_LIST_COLORS_BEST_BLUE,Blue color component to the best access level listed by /admins,0
ADMIN_LIST_COLORS_BEST_GREEN,Green color component to the best access level listed by /admins,0
ADMIN_LIST_COLORS_BEST_RED,Red color component to the best access level listed by /admins,15
ADMIN_LIST_COLORS_WORST_BLUE,Blue color component to the worst access level listed by /admins,7
ADMIN_LIST_COLORS_WORST_GREEN,Green color component to the worst access level listed by /admins,15
ADMIN_LIST_COLORS_WORST_RED,Red color component to the worst access level listed by /admins,15
ADMIN_LIST_MIN_ACCESS_LEVEL,Minimal access level to be shown in /admins,2
AI_CHARACTER_FILE,ai_character_file_help,aiplayers.cfg
AI_IQ,IQ of the AI opponents,50
ALLOW_CONTROL_DURING_CHAT,"If set to 1, this allows a player to issue cycle and camera control commands during chat (losing the chatbot and the yellow chat pyramid).",0
ALLOW_ENEMIES_SAME_CLIENT,"If set to 1, this allows two players that play on the same client to fight for points with each other.",0
ALLOW_ENEMIES_SAME_IP,"If set to 1, this allows two players that apparently come from the same machine to fight for points with each other.",0
